date,hour,numberOfLanes,numberOfBlocks
3/26,9:00 AM,1,1
3/26,10:00 AM,1,1
3/26,11:00 AM,1,1
3/26,12:00 PM,1,1
3/26,1:00 PM,1,1
3/26,2:00 PM,1,1
3/27,9:00 AM,1,1
3/27,10:00 AM,1,1
3/27,11:00 AM,1,1
3/27,12:00 PM,1,1
3/27,1:00 PM,1,1
3/27,2:00 PM,1,1
3/28,9:00 AM,1,1
3/28,10:00 AM,1,1
3/28,11:00 AM,1,1
3/28,12:00 PM,1,1
3/28,1:00 PM,1,1
3/28,2:00 PM,1,1
3/31,9:00 AM,1,1
3/31,10:00 AM,1,1
3/31,11:00 AM,1,1
3/31,12:00 PM,1,1
3/31,1:00 PM,1,1
3/31,2:00 PM,1,1
4/1,9:00 AM,1,1
4/1,10:00 AM,1,1
4/1,11:00 AM,1,1
4/1,12:00 PM,1,1
4/1,1:00 PM,1,1
4/1,2:00 PM,1,1
4/2,9:00 AM,1,1
4/2,10:00 AM,1,1
4/2,11:00 AM,1,1
4/2,12:00 PM,1,1
4/2,1:00 PM,1,1
4/2,2:00 PM,1,1
4/3,9:00 AM,1,1
4/3,10:00 AM,1,1
4/3,11:00 AM,1,1
4/3,12:00 PM,1,1
4/3,1:00 PM,1,1
4/3,2:00 PM,1,1
4/4,9:00 AM,1,1
4/4,10:00 AM,1,2
4/4,11:00 AM,1,2
4/4,12:00 PM,1,2
4/4,1:00 PM,1,2
4/4,2:00 PM,1,2
4/5,10:00 AM,1,1
4/5,11:00 AM,1,1
4/5,12:00 PM,1,1
4/5,1:00 PM,1,1
4/5,2:00 PM,1,1
4/6,10:00 AM,1,1
4/6,11:00 AM,1,1
4/6,12:00 PM,1,1
4/6,1:00 PM,1,1
4/6,2:00 PM,1,1
4/7,10:00 AM,1,1
4/7,11:00 AM,1,1
4/7,12:00 PM,1,1
4/7,1:00 PM,1,1
4/7,2:00 PM,1,1
4/12,5:00 AM,1,3
4/12,6:00 AM,1,3
4/12,7:00 AM,1,3
4/12,8:00 AM,1,3
4/12,9:00 AM,1,3
4/12,10:00 AM,1,3
4/12,11:00 AM,1,3
4/12,12:00 PM,1,3
4/12,1:00 PM,1,3
4/12,2:00 PM,1,3
4/12,3:00 PM,1,3
4/12,4:00 PM,1,3
4/12,5:00 PM,1,3
4/12,6:00 PM,1,3
4/12,7:00 PM,1,3
4/12,8:00 PM,1,1
4/12,9:00 PM,1,1
4/12,10:00 PM,1,1
4/12,11:00 PM,1,1
4/13,12:00 AM,1,1
4/13,1:00 AM,1,1
4/13,2:00 AM,1,1
4/13,3:00 AM,1,1
4/13,4:00 AM,1,1
4/13,5:00 AM,1,3
4/13,6:00 AM,1,3
4/13,7:00 AM,1,3
4/13,8:00 AM,1,3
4/13,9:00 AM,1,3
4/13,10:00 AM,1,3
4/13,11:00 AM,1,3
4/13,12:00 PM,1,3
4/13,1:00 PM,1,3
4/13,2:00 PM,1,3
4/13,3:00 PM,1,3
4/13,4:00 PM,1,3
4/13,5:00 PM,1,3
4/13,6:00 PM,1,3
4/13,7:00 PM,1,3
4/13,8:00 PM,1,1
4/13,9:00 PM,1,1
4/13,10:00 PM,1,1
4/13,11:00 PM,1,1
4/14,12:00 AM,1,1
4/14,1:00 AM,1,1
4/14,2:00 AM,1,1
4/14,3:00 AM,1,1
4/14,4:00 AM,1,1
4/14,5:00 AM,1,1
4/14,6:00 AM,1,1
4/14,7:00 AM,1,1
4/14,8:00 AM,1,1
4/14,9:00 AM,1,1
4/14,10:00 AM,1,1
4/14,11:00 AM,1,1
4/14,12:00 PM,1,1
4/14,1:00 PM,1,1
4/14,2:00 PM,1,1
4/14,3:00 PM,1,1
4/14,4:00 PM,1,1
4/14,5:00 PM,1,1
4/14,6:00 PM,1,1
4/15,5:00 AM,1,1
4/15,6:00 AM,1,1
4/15,7:00 AM,1,1
4/15,8:00 AM,1,1
4/15,9:00 AM,1,1
4/15,10:00 AM,1,1
4/15,11:00 AM,1,1
4/15,12:00 PM,1,1
4/15,1:00 PM,1,1
4/15,2:00 PM,1,1
4/15,3:00 PM,1,1
4/15,4:00 PM,1,1
4/15,5:00 PM,1,1
4/15,6:00 PM,1,1
4/16,5:00 AM,1,2
4/16,6:00 AM,1,2
4/16,7:00 AM,1,2
4/16,8:00 AM,1,2
4/16,9:00 AM,1,2
4/16,10:00 AM,1,2
4/16,11:00 AM,1,2
4/16,12:00 PM,1,2
4/16,1:00 PM,1,2
4/16,2:00 PM,1,2
4/17,9:00 AM,1,2
4/17,10:00 AM,1,2
4/17,11:00 AM,1,2
4/17,12:00 PM,1,2
4/17,1:00 PM,1,2
4/17,2:00 PM,1,2
4/19,7:00 AM,1,3
4/19,8:00 AM,1,3
4/19,9:00 AM,1,3
4/19,10:00 AM,1,3
4/19,11:00 AM,1,3
4/19,12:00 PM,1,3
4/19,1:00 PM,1,3
4/19,2:00 PM,1,3
4/19,3:00 PM,1,3
4/19,4:00 PM,1,2
4/19,5:00 PM,1,2
4/19,6:00 PM,1,2
4/19,7:00 PM,1,2
4/19,8:00 PM,1,2
4/19,9:00 PM,1,2
4/19,10:00 PM,1,2
4/19,11:00 PM,1,2
4/20,12:00 AM,1,2
4/20,1:00 AM,1,2
4/20,2:00 AM,1,2
4/20,3:00 AM,1,2
4/20,4:00 AM,1,2
4/20,5:00 AM,1,2
4/20,6:00 AM,1,2
4/20,7:00 AM,1,2
4/20,8:00 AM,1,2
4/20,9:00 AM,1,2
4/20,10:00 AM,1,2
4/20,11:00 AM,1,2
4/20,12:00 PM,1,2
4/20,1:00 PM,1,2
4/20,2:00 PM,1,2
4/20,3:00 PM,1,2
4/20,4:00 PM,1,2
4/20,5:00 PM,1,2
4/20,6:00 PM,1,2
4/20,7:00 PM,1,2
4/21,9:00 AM,1,2
4/21,10:00 AM,1,2
4/21,11:00 AM,1,2
4/21,12:00 PM,1,2
4/21,1:00 PM,1,2
4/21,2:00 PM,1,2
4/22,9:00 AM,1,2
4/22,10:00 AM,1,2
4/22,11:00 AM,1,2
4/22,12:00 PM,1,2
4/22,1:00 PM,1,2
4/22,2:00 PM,1,2
4/23,9:00 AM,1,2
4/23,10:00 AM,1,2
4/23,11:00 AM,1,2
4/23,12:00 PM,1,2
4/23,1:00 PM,1,2
4/23,2:00 PM,1,2
4/24,9:00 AM,1,2
4/24,10:00 AM,1,2
4/24,11:00 AM,1,2
4/24,12:00 PM,1,2
4/24,1:00 PM,1,2
4/24,2:00 PM,1,2
4/25,9:00 AM,1,2
4/25,10:00 AM,1,2
4/25,11:00 AM,1,2
4/25,12:00 PM,1,2
4/25,1:00 PM,1,2
4/25,2:00 PM,1,2
4/26,7:00 AM,1,2
4/26,8:00 AM,1,2
4/26,9:00 AM,1,2
4/26,10:00 AM,1,2
4/26,11:00 AM,1,2
4/26,12:00 PM,1,2
4/26,1:00 PM,1,2
4/26,2:00 PM,1,2
4/26,3:00 PM,1,2
4/26,4:00 PM,1,2
4/26,5:00 PM,1,2
4/26,6:00 PM,1,2
4/26,7:00 PM,1,2
4/26,8:00 PM,1,2
4/26,9:00 PM,1,2
4/26,10:00 PM,1,2
4/26,11:00 PM,1,2
4/27,12:00 AM,1,2
4/27,1:00 AM,1,2
4/27,2:00 AM,1,2
4/27,3:00 AM,1,2
4/27,4:00 AM,1,2
4/27,5:00 AM,1,2
4/27,6:00 AM,1,2
4/27,7:00 AM,1,2
4/27,8:00 AM,1,2
4/27,9:00 AM,1,2
4/27,10:00 AM,1,2
4/27,11:00 AM,1,2
4/27,12:00 PM,1,2
4/27,1:00 PM,1,2
4/27,2:00 PM,1,2
4/27,3:00 PM,1,2
4/27,4:00 PM,1,2
4/27,5:00 PM,1,2
4/27,6:00 PM,1,2
4/27,7:00 PM,1,2
4/27,8:00 PM,1,2
4/27,9:00 PM,1,2
4/27,10:00 PM,1,2
4/27,11:00 PM,1,2
4/28,12:00 AM,1,2
4/28,1:00 AM,1,2
4/28,2:00 AM,1,2
4/28,3:00 AM,1,2
4/28,4:00 AM,1,2
4/28,5:00 AM,1,2
4/28,9:00 AM,1,2
4/28,10:00 AM,1,2
4/28,11:00 AM,1,2
4/28,12:00 PM,1,2
4/28,1:00 PM,1,2
4/28,2:00 PM,1,2
4/29,9:00 AM,1,2
4/29,10:00 AM,1,2
4/29,11:00 AM,1,2
4/29,12:00 PM,1,2
4/29,1:00 PM,1,2
4/29,2:00 PM,1,2
4/30,9:00 AM,1,3
4/30,10:00 AM,1,3
4/30,11:00 AM,1,3
4/30,12:00 PM,1,3
4/30,1:00 PM,1,3
4/30,2:00 PM,1,3
5/1,9:00 AM,1,2
5/1,10:00 AM,1,2
5/1,11:00 AM,1,2
5/1,12:00 PM,1,2
5/1,1:00 PM,1,2
5/1,2:00 PM,1,2
5/2,9:00 AM,1,1
5/2,10:00 AM,1,1
5/2,11:00 AM,1,1
5/2,12:00 PM,1,1
5/2,1:00 PM,1,1
5/2,2:00 PM,1,1
5/3,7:00 AM,1,2
5/3,8:00 AM,1,2
5/3,9:00 AM,1,2
5/3,10:00 AM,1,2
5/3,11:00 AM,1,2
5/3,12:00 PM,1,2
5/3,1:00 PM,1,2
5/3,2:00 PM,1,2
5/3,3:00 PM,1,2
5/3,4:00 PM,1,2
5/3,5:00 PM,1,2
5/3,6:00 PM,1,2
5/3,7:00 PM,1,2
5/3,8:00 PM,1,2
5/3,9:00 PM,1,2
5/3,10:00 PM,1,2
5/3,11:00 PM,1,2
5/4,12:00 AM,1,2
5/4,1:00 AM,1,2
5/4,2:00 AM,1,2
5/4,3:00 AM,1,2
5/4,4:00 AM,1,2
5/4,5:00 AM,1,2
5/4,6:00 AM,1,2
5/4,7:00 AM,1,2
5/4,8:00 AM,1,2
5/4,9:00 AM,1,2
5/4,10:00 AM,1,2
5/4,11:00 AM,1,2
5/4,12:00 PM,1,2
5/4,1:00 PM,1,2
5/4,2:00 PM,1,2
5/4,3:00 PM,1,2
5/4,4:00 PM,1,2
5/4,5:00 PM,1,2
5/4,6:00 PM,1,2
5/4,7:00 PM,1,2
5/4,8:00 PM,1,2
5/4,9:00 PM,1,2
5/4,10:00 PM,1,2
5/4,11:00 PM,1,2
5/5,12:00 AM,1,2
5/5,1:00 AM,1,2
5/5,2:00 AM,1,2
5/5,3:00 AM,1,2
5/5,4:00 AM,1,2
5/5,5:00 AM,1,2
5/8,9:00 AM,1,2
5/8,10:00 AM,1,2
5/8,11:00 AM,1,2
5/8,12:00 PM,1,2
5/8,1:00 PM,1,2
5/8,2:00 PM,1,2
5/9,9:00 AM,1,3
5/9,10:00 AM,1,3
5/9,11:00 AM,1,3
5/9,12:00 PM,1,3
5/9,1:00 PM,1,3
5/9,2:00 PM,1,3
5/12,9:00 AM,1,2
5/12,10:00 AM,1,2
5/12,11:00 AM,1,2
5/12,12:00 PM,1,2
5/12,1:00 PM,1,2
5/12,2:00 PM,1,2
5/13,9:00 AM,1,2
5/13,10:00 AM,1,2
5/13,11:00 AM,1,2
5/13,12:00 PM,1,2
5/13,1:00 PM,1,2
5/13,2:00 PM,1,2
5/14,9:00 AM,1,2
5/14,10:00 AM,1,2
5/14,11:00 AM,1,2
5/14,12:00 PM,1,2
5/14,7:00 PM,1,7
5/14,8:00 PM,1,7
5/14,9:00 PM,1,7
5/14,10:00 PM,1,7
5/14,11:00 PM,1,7
5/15,12:00 AM,1,7
5/15,1:00 AM,1,7
5/15,2:00 AM,1,7
5/15,3:00 AM,1,7
5/15,4:00 AM,1,7
5/15,7:00 PM,1,7
5/15,8:00 PM,1,7
5/15,9:00 PM,1,7
5/15,10:00 PM,1,7
5/15,11:00 PM,1,7
5/16,12:00 AM,1,7
5/16,1:00 AM,1,7
5/16,2:00 AM,1,7
5/16,3:00 AM,1,7
5/16,4:00 AM,1,7
5/19,9:00 AM,1,1
5/19,10:00 AM,1,1
5/19,11:00 AM,1,1
5/19,12:00 PM,1,1
5/19,1:00 PM,1,1
5/19,2:00 PM,1,1
5/20,9:00 AM,1,1
5/20,10:00 AM,1,1
5/20,11:00 AM,1,1
5/20,12:00 PM,1,1
5/20,1:00 PM,1,1
5/20,2:00 PM,1,1
5/21,9:00 AM,1,1
5/21,10:00 AM,1,1
5/21,11:00 AM,1,1
5/21,12:00 PM,1,1
5/21,1:00 PM,1,1
5/21,2:00 PM,1,1
5/22,9:00 AM,1,1
5/22,10:00 AM,1,1
5/22,11:00 AM,1,1
5/22,12:00 PM,1,1
5/22,1:00 PM,1,1
5/22,2:00 PM,1,1
5/23,9:00 AM,1,1
5/23,10:00 AM,1,1
5/23,11:00 AM,1,1
5/23,12:00 PM,1,1
5/23,1:00 PM,1,1
5/23,2:00 PM,1,1
5/27,9:00 AM,1,2
5/27,10:00 AM,1,2
5/27,11:00 AM,1,2
5/27,12:00 PM,1,2
5/27,1:00 PM,1,2
5/27,2:00 PM,1,2
5/28,9:00 AM,1,2
5/28,10:00 AM,1,2
5/28,11:00 AM,1,2
5/28,12:00 PM,1,2
5/28,1:00 PM,1,2
5/28,2:00 PM,1,2
5/28,7:00 PM,1,2
5/28,8:00 PM,1,2
5/28,9:00 PM,1,2
5/28,10:00 PM,1,2
5/28,11:00 PM,1,2
5/29,12:00 AM,1,2
5/29,1:00 AM,1,2
5/29,2:00 AM,1,2
5/29,3:00 AM,1,2
5/29,4:00 AM,1,2
5/29,9:00 AM,1,3
5/29,10:00 AM,1,3
5/29,11:00 AM,1,3
5/29,12:00 PM,1,3
5/29,1:00 PM,1,3
5/29,2:00 PM,1,3
5/30,9:00 AM,1,3
5/30,10:00 AM,1,3
5/30,11:00 AM,1,3
5/30,12:00 PM,1,3
5/30,1:00 PM,1,3
5/30,2:00 PM,1,3
6/7,7:00 AM,1,2
6/7,8:00 AM,1,2
6/7,9:00 AM,1,3
6/7,10:00 AM,1,3
6/7,11:00 AM,1,3
6/7,12:00 PM,1,3
6/7,1:00 PM,1,3
6/7,2:00 PM,1,3
6/7,3:00 PM,1,2
6/7,4:00 PM,1,2
6/7,5:00 PM,1,2
6/7,6:00 PM,1,2
6/7,7:00 PM,1,2
6/7,8:00 PM,1,2
6/7,9:00 PM,1,2
6/7,10:00 PM,1,2
6/7,11:00 PM,1,2
6/8,12:00 AM,1,2
6/8,1:00 AM,1,2
6/8,2:00 AM,1,2
6/8,3:00 AM,1,2
6/8,4:00 AM,1,2
6/8,5:00 AM,1,2
6/8,6:00 AM,1,2
6/8,7:00 AM,1,2
6/8,8:00 AM,1,2
6/8,9:00 AM,1,2
6/8,10:00 AM,1,2
6/8,11:00 AM,1,2
6/8,12:00 PM,1,2
6/8,1:00 PM,1,2
6/8,2:00 PM,1,2
6/8,3:00 PM,1,2
6/8,4:00 PM,1,2
6/8,5:00 PM,1,2
6/8,6:00 PM,1,2
6/8,7:00 PM,1,2
6/8,8:00 PM,1,2
6/8,9:00 PM,1,2
6/8,10:00 PM,1,2
6/8,11:00 PM,1,2
6/9,12:00 AM,1,2
6/9,1:00 AM,1,2
6/9,2:00 AM,1,2
6/9,3:00 AM,1,2
6/9,9:00 AM,1,1
6/9,10:00 AM,1,1
6/9,11:00 AM,1,1
6/9,12:00 PM,1,1
6/9,1:00 PM,1,1
6/9,2:00 PM,1,1
6/9,7:00 PM,1,7
6/9,8:00 PM,1,7
6/9,9:00 PM,1,7
6/9,10:00 PM,1,7
6/9,11:00 PM,1,7
6/10,12:00 AM,1,7
6/10,1:00 AM,1,7
6/10,2:00 AM,1,7
6/10,3:00 AM,1,7
6/10,4:00 AM,1,7
6/10,9:00 AM,1,1
6/10,10:00 AM,1,1
6/10,11:00 AM,1,1
6/10,12:00 PM,1,1
6/10,1:00 PM,1,1
6/10,2:00 PM,1,1
6/10,7:00 PM,1,7
6/10,8:00 PM,1,7
6/10,9:00 PM,1,7
6/10,10:00 PM,1,7
6/10,11:00 PM,1,7
6/11,12:00 AM,1,7
6/11,1:00 AM,1,7
6/11,2:00 AM,1,7
6/11,3:00 AM,1,7
6/11,4:00 AM,1,7
6/11,9:00 AM,1,1
6/11,10:00 AM,1,1
6/11,11:00 AM,1,1
6/11,12:00 PM,1,1
6/11,1:00 PM,1,1
6/11,2:00 PM,1,1
6/14,7:00 AM,1,1
6/14,8:00 AM,1,1
6/14,9:00 AM,1,1
6/14,10:00 AM,1,1
6/14,11:00 AM,1,1
6/14,12:00 PM,1,1
6/14,1:00 PM,1,1
6/14,2:00 PM,1,1
6/14,3:00 PM,1,1
6/14,4:00 PM,1,1
6/14,5:00 PM,1,1
6/14,6:00 PM,1,1
6/14,7:00 PM,1,1
6/14,8:00 PM,1,1
6/14,9:00 PM,1,1
6/14,10:00 PM,1,1
6/14,11:00 PM,1,1
6/15,12:00 AM,1,1
6/15,1:00 AM,1,1
6/15,2:00 AM,1,1
6/15,3:00 AM,1,1
6/15,4:00 AM,1,1
6/15,5:00 AM,1,1
6/15,6:00 AM,1,1
6/15,7:00 AM,1,1
6/15,8:00 AM,1,1
6/15,9:00 AM,1,1
6/15,10:00 AM,1,1
6/15,11:00 AM,1,1
6/15,12:00 PM,1,1
6/15,1:00 PM,1,1
6/15,2:00 PM,1,1
6/15,3:00 PM,1,1
6/15,4:00 PM,1,1
6/15,5:00 PM,1,1
6/15,6:00 PM,1,1
6/15,7:00 PM,1,1
6/15,8:00 PM,1,1
6/15,9:00 PM,1,1
6/15,10:00 PM,1,1
6/15,11:00 PM,1,1
6/16,12:00 AM,1,1
6/16,1:00 AM,1,1
6/16,2:00 AM,1,1
6/16,3:00 AM,1,1
6/16,4:00 AM,1,1